ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,2.5e-06,1.0,2.5e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 500, '__prepare__'): (1, 1, 2.5e-06, 2.5e-06)}",1
1,3.5000000000000004e-06,119.3142857142857,0.0004176,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 3.5000000000000004e-06, 0.0004176)}",1
1,3.4e-06,22.176470588235293,7.54e-05,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 3.4e-06, 7.54e-05)}",1
1,1.25e-05,574504.704,7.1813088,{},1
1,5.000000000000001e-07,1.0,5.000000000000001e-07,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 962, 'parse'): (1, 1, 5.000000000000001e-07, 5.000000000000001e-07)}",1
50,3.8e-05,1.1894736842105262,4.52e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 515, '__new__'): (1, 1, 8.000000000000001e-07, 9.000000000000001e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (10, 10, 6.4000000000000006e-06, 7.6e-06), ('~', 0, '<built-in method builtins.setattr>'): (39, 39, 3.08e-05, 3.6700000000000004e-05)}",50
1,3.3e-06,1.1818181818181817,3.9e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 500, '__prepare__'): (1, 1, 3.3e-06, 3.9e-06)}",1
129,3.0200000000000002e-05,4.781456953642384,0.0001444,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 396, '_simple'): (11, 11, 1.6000000000000001e-06, 2.6e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 37, '_compile'): (41, 41, 1e-05, 1.32e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (77, 77, 1.86e-05, 0.0001286)}",129
12,1.7e-06,1.0,1.7e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\__init__.py', 376, '__init__'): (12, 12, 1.7e-06, 1.7e-06)}",12
6,1.56e-05,1.608974358974359,2.51e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\ttk.py', 272, '_val_or_dict'): (3, 3, 8.200000000000001e-06, 1.3300000000000001e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\ttk.py', 1321, 'insert'): (3, 3, 7.4e-06, 1.18e-05)}",6
1,1.8000000000000001e-06,1.2777777777777777,2.3e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 962, 'parse'): (1, 1, 1.8000000000000001e-06, 2.3e-06)}",1
12,6.35e-05,2.760629921259843,0.0001753,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\bin\\data_plot_new.py', 65, 'load_and_plot'): (8, 8, 4.3700000000000005e-05, 0.000125), ('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\helper\\load.py', 76, 'read_file'): (4, 4, 1.98e-05, 5.03e-05)}",12
2,2.6e-06,1.653846153846154,4.3e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\weakref.py', 367, '__init__'): (2, 2, 2.6e-06, 4.3e-06)}",2
5,1.52e-05,6.756578947368421,0.0001027,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 33, '__init__'): (1, 1, 2.7e-06, 1.56e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\__init__.py', 875, 'after_idle'): (4, 4, 1.25e-05, 8.71e-05)}",5
45,1.56e-05,1.1858974358974361,1.8500000000000002e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 383, '__setitem__'): (6, 6, 2.3e-06, 2.8000000000000003e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (39, 39, 1.3300000000000001e-05, 1.5700000000000002e-05)}",45
38,1.06e-05,1.2169811320754718,1.29e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 383, '__setitem__'): (7, 7, 2.8000000000000003e-06, 3.2000000000000003e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (31, 31, 7.8e-06, 9.7e-06)}",38
8,5.1e-06,1.0,5.1e-06,"{('~', 0, '<built-in method builtins.delattr>'): (8, 8, 5.1e-06, 5.1e-06)}",8
13,4.7e-06,2.8510638297872344,1.34e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 37, '_compile'): (13, 13, 4.7e-06, 1.34e-05)}",13
184,0.0005776,8.763850415512465,0.0050620000000000005,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 118, 'deepcopy'): (184, 46, 0.0005776, 0.0050620000000000005)}",46
3,8.8e-06,4.625,4.07e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\ttk.py', 350, 'configure'): (2, 2, 3.8e-06, 2.02e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\ttk.py', 1245, 'heading'): (1, 1, 5e-06, 2.05e-05)}",3
492,0.000201,1.5248756218905473,0.0003065,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 118, 'deepcopy'): (492, 492, 0.000201, 0.0003065)}",492
3,4.0000000000000003e-07,1.0,4.0000000000000003e-07,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 465, '_get_charset_prefix'): (1, 1, 1.0000000000000001e-07, 1.0000000000000001e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 434, '_get_literal_prefix'): (2, 2, 3.0000000000000004e-07, 3.0000000000000004e-07)}",3
46,3.86e-05,14.712435233160623,0.0005679000000000001,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 118, 'deepcopy'): (46, 46, 3.86e-05, 0.0005679000000000001)}",46
975,0.0013243,1.0,0.0013243,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\cbook.py', 285, 'process'): (975, 975, 0.0013243, 0.0013243)}",975
1,7.2000000000000005e-06,114.80555555555556,0.0008266,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 33, '__init__'): (1, 1, 7.2000000000000005e-06, 0.0008266)}",1
2,4.800000000000001e-06,2.6874999999999996,1.29e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\__init__.py', 280, '_compile'): (2, 2, 4.800000000000001e-06, 1.29e-05)}",2
3,6.300000000000001e-06,1.4444444444444444,9.100000000000001e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\ttk.py', 272, '_val_or_dict'): (3, 3, 6.300000000000001e-06, 9.100000000000001e-06)}",3
34,3.1000000000000004e-06,1.0,3.1000000000000004e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 249, '__set_name__'): (3, 3, 2.0000000000000002e-07, 2.0000000000000002e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (31, 31, 2.9e-06, 2.9e-06)}",34
92,8.7e-06,1.0,8.7e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 118, 'deepcopy'): (92, 92, 8.7e-06, 8.7e-06)}",92
1946,0.0011622000000000002,1.584408879710893,0.0018414000000000002,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1538, '__and__'): (2, 2, 5e-06, 6.4000000000000006e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\__init__.py', 1603, '_substitute'): (1036, 1036, 0.0008454000000000001, 0.0013318000000000002), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\backend_bases.py', 766, '__init__'): (374, 374, 0.0001395, 0.00023970000000000003), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\backend_bases.py', 919, 'set_capstyle'): (128, 128, 4.1200000000000005e-05, 6.2e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\backend_bases.py', 989, 'set_joinstyle'): (128, 128, 4.1e-05, 6.64e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\patches.py', 453, 'set_capstyle'): (11, 11, 5.7000000000000005e-06, 9.4e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\patches.py', 473, 'set_joinstyle'): (7, 7, 1.7e-06, 3.1000000000000004e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\lines.py', 1359, 'set_dash_joinstyle'): (65, 65, 2.0700000000000002e-05, 3.04e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\lines.py', 1375, 'set_solid_joinstyle'): (65, 65, 1.4200000000000001e-05, 2.25e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\lines.py', 1407, 'set_dash_capstyle'): (65, 65, 3.27e-05, 4.61e-05), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\lines.py', 1423, 'set_solid_capstyle'): (65, 65, 1.5100000000000001e-05, 2.36e-05)}",1946
1,1.3700000000000001e-05,12.824817518248175,0.00017570000000000002,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 738, 'compile'): (1, 1, 1.3700000000000001e-05, 0.00017570000000000002)}",1
2,1.5e-06,1.0,1.5e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\commondialog.py', 32, 'show'): (2, 2, 1.5e-06, 1.5e-06)}",2
1,3.2000000000000003e-06,193.81249999999997,0.0006202,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\platform.py', 1040, '_sys_version'): (1, 1, 3.2000000000000003e-06, 0.0006202)}",1
3,4.0000000000000003e-07,1.0,4.0000000000000003e-07,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 515, '__new__'): (3, 3, 4.0000000000000003e-07, 4.0000000000000003e-07)}",3
31,2.9e-06,1.0,2.9e-06,"{('~', 0, ""<method 'sort' of 'list' objects>""): (31, 31, 2.9e-06, 2.9e-06)}",31
104,2.2400000000000002e-05,1.0,2.2400000000000002e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 197, '__get__'): (104, 104, 2.2400000000000002e-05, 2.2400000000000002e-05)}",104
1,7.000000000000001e-07,1.0,7.000000000000001e-07,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 197, '__get__'): (1, 1, 7.000000000000001e-07, 7.000000000000001e-07)}",1
4,1.3e-06,1.0,1.3e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 902, '_convert_'): (4, 4, 1.3e-06, 1.3e-06)}",4
5,4.6e-06,4.456521739130435,2.05e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (5, 5, 4.6e-06, 2.05e-05)}",5
21,0.0001044,1.0,0.0001044,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 164, '__getitem__'): (13, 13, 0.00010310000000000001, 0.00010310000000000001), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (8, 8, 1.3e-06, 1.3e-06)}",21
23,6e-06,1.4666666666666668,8.8e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (23, 23, 6e-06, 8.8e-06)}",23
53,1.2e-05,1.7,2.04e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (53, 53, 1.2e-05, 2.04e-05)}",53
558,4.18e-05,1.0,4.18e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 61, 'copy'): (558, 558, 4.18e-05, 4.18e-05)}",558
2054,0.0001373,1.0,0.0001373,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 118, 'deepcopy'): (2054, 2054, 0.0001373, 0.0001373)}",2054
5,1.2000000000000002e-06,1.0,1.2000000000000002e-06,"{('~', 0, ""<method 'join' of 'str' objects>""): (5, 5, 1.2000000000000002e-06, 1.2000000000000002e-06)}",5
276,5.27e-05,4.189753320683113,0.00022080000000000003,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 247, '_reconstruct'): (276, 276, 5.27e-05, 0.00022080000000000003)}",276
2,3.2000000000000003e-06,8.5,2.72e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\tkinter\\commondialog.py', 32, 'show'): (2, 2, 3.2000000000000003e-06, 2.72e-05)}",2
63,8.400000000000001e-06,1.2023809523809523,1.01e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 445, '_parse_sub'): (8, 8, 1.1e-06, 1.1e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (55, 55, 7.3e-06, 9e-06)}",63
33,7.000000000000001e-06,1.4142857142857141,9.9e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 445, '_parse_sub'): (8, 8, 1.8000000000000001e-06, 2.5e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (25, 25, 5.2e-06, 7.4e-06)}",33
5,5.7000000000000005e-06,1.4385964912280702,8.200000000000001e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (5, 5, 5.7000000000000005e-06, 8.200000000000001e-06)}",5
